crop,variety,plant_type,season,water_needs,sow_window,seeding_method,days_to_transplant,days_to_maturity,packet_type,planting_pattern,plants_per_linear_ft,plants_per_sq_ft,harvest_info,supplier,url,notes,yield_low,yield_high
Broccoli,Waltham 29,vegetable,cool-season,medium-high,Aug–Feb,transplant,35.0,70.0,single,1.0,0.67,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-waltham-29-broccoli-seeds/,,1.0,1.0
Broccoli,Steve's Tender Early Green,vegetable,cool-season,medium-high,Aug–Feb,transplant,35.0,70.0,single,1.0,0.67,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-steves-tender-early-green-broccoli-seeds/,,1.0,1.0
Broccoli,Sprouting Di Cocco,vegetable,cool-season,medium-high,Aug–Feb,transplant,35.0,70.0,single,1.0,0.67,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-sprouting-di-cocco-broccoli-seeds/,,1.0,1.0
Broccoli,Belstar F1,vegetable,cool-season,medium-high,Aug–Feb,transplant,35.0,70.0,single,1.0,0.67,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/broccoli/standard-broccoli/belstar-organic-f1-broccoli-seed-2815G.html,,1.0,1.0
Broccoli,Happy Rich F1,vegetable,cool-season,medium-high,Aug–Feb,transplant,35.0,70.0,single,1.0,0.67,,mini broccoli,JS,https://www.johnnyseeds.com/vegetables/broccoli/mini-broccoli/happy-rich-f1-broccoli-seed-2629.html,,1.0,1.0
Cabbage / Asian Brassicas,Mini Napa Chinese Cabbage,vegetable,cool-season,medium-high,Aug–Feb,transplant,35.0,85.0,single,1.0,0.56,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/cabbages/mini-napa-chinese-cabbage-seeds/,,2.0,4.0
Cabbage / Asian Brassicas,Red Acre,vegetable,cool-season,medium-high,Aug–Feb,transplant,35.0,85.0,single,1.0,0.56,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-red-acre-cabbage-seeds/,,2.0,4.0
Cabbage / Asian Brassicas,White Stem Pak Choi,vegetable,cool-season,medium-high,Aug–Feb,transplant,35.0,85.0,single,1.0,0.56,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-white-stem-pak-choi-seeds/,,2.0,4.0
Cabbage / Asian Brassicas,Bronco F1,vegetable,cool-season,medium-high,Aug–Feb,transplant,35.0,85.0,single,1.0,0.56,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/cabbage/fresh-market-cabbage/bronco-organic-f1-cabbage-seed-5195G.html,,2.0,4.0
Cabbage / Asian Brassicas,Bilko F1 Chinese Cabbage,vegetable,cool-season,medium-high,Aug–Feb,transplant,35.0,85.0,single,1.0,0.56,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/chinese-cabbage/bilko-organic-f1-chinese-cabbage-seed-2814G.html,,2.0,4.0
