plant_name,variety,url,target_quantity,flat_quantity,target_row_feet,actual_row_feet,target_lbs_week,expected_lbs_week,avg_yield_per_plant,succession_days,harvest_weeks_per_planting,plant_date,seed_date,first_harvest_date,notes
Arugula,Wild Arugula,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/,160,N/A,64,64,6.0,6.0,0.075,14,2.0,2026-02-28,,2026-04-04,SDSC - Direct sow baby green
Beets,Boldor,https://www.johnnyseeds.com/vegetables/beets/specialty-beets/boldor-organic-beet-seed-3121G.html,63,64,42,38.5,10.0,10.1,0.25,10,1.43,2026-02-28,2026-01-31,2026-04-24,JS - 20 lbs total / 2 varieties
Broccoli,Belstar F1,https://www.johnnyseeds.com/vegetables/broccoli/standard-broccoli/belstar-organic-f1-broccoli-seed-2815G.html,66,64,28,24.1,20.0,19.3,1.0,21,3.0,2026-02-28,2026-01-31,2026-05-04,JS only - 40 lbs total / 2 varieties
Cabbage,Bronco F1,https://www.johnnyseeds.com/vegetables/cabbage/fresh-market-cabbage/bronco-organic-f1-cabbage-seed-5195G.html,33,64,17,28.9,30.0,57.8,3.0,21,3.0,2026-02-28,2026-01-31,2026-05-19,JS only - 40 lbs total
Carrots,Bengala F1,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bengala-organic-f1-carrot-seed-5176G.html,398,N/A,22,22,30.0,30.0,0.25,21,3.0,2026-02-28,,2026-05-24,JS - 60 lbs total / 2 varieties
Chicory,Gourmet Blend,https://sandiegoseedcompany.com/product/vegetables/greens/gourmet-blend-chicory-seeds/,94,N/A,63,63,10.0,10.0,0.35,21,3.0,2026-02-28,,2026-04-19,SDSC - Direct sow
Chinese Cabbage,Bilko F1 Chinese Cabbage,https://www.johnnyseeds.com/vegetables/chinese-cabbage/bilko-organic-f1-chinese-cabbage-seed-2814G.html,29,64,22,43.4,20.0,43.3,1.5,14,2.0,2026-02-28,2026-01-31,2026-04-26,JS only (use for Napa too)
Greens Mixes,Ovation Greens Mix,https://www.johnnyseeds.com/vegetables/greens/greens-mixes/ovation-greens-mix-organic-vegetable-seed-2697G.html,76,N/A,31,31,5.0,5.0,0.065,7,1.0,2026-02-28,,2026-03-21,JS - Baby greens mix - direct sow
Lettuce (Mixed),Allstar Gourmet Mix,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html,153,N/A,62,62,10.0,10.0,0.065,7,1.0,2026-02-28,,2026-03-28,JS - Baby lettuce mix - direct sow
Lettuce (Single),Sunland,https://www.johnnyseeds.com/vegetables/lettuce/romaine-lettuce-cos/sunland-lettuce-seed-4788.html,31,64,21,38.5,20.0,40.4,1.0,10,1.43,2026-02-28,2026-01-31,2026-04-25,JS romaine
Mustard Greens,Wasabina,https://www.johnnyseeds.com/vegetables/greens/mustard-greens/wasabina-mustard-green-seed-4396.html,81,N/A,32,32,5.0,5.0,0.185,21,3.0,2026-02-28,,2026-03-21,JS - Direct sow baby green
Pak Choi,Black Summer F1,https://www.johnnyseeds.com/vegetables/greens/pac-choi-bok-choy/black-summer-f1-green-seed-2460.html,142,128,40,32.1,15.0,13.5,0.35,21,3.0,2026-02-28,2026-01-31,2026-04-14,JS variety
Radishes,Sora,https://www.johnnyseeds.com/vegetables/radishes/round-radishes/sora-organic-radish-seed-612G.html,88,N/A,22,22,20.0,20.0,0.25,7,1.0,2026-02-28,,2026-03-22,JS organic - 20 lbs total
Spinach,Corvair,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/,36,N/A,4,4,5.0,5.0,0.15,7,1.0,2026-02-28,,2026-03-27,SDSC - Single variety
Beets,Boro F1,https://www.johnnyseeds.com/vegetables/beets/round-red-beets/boro-organic-f1-beet-seed-3300G.html,63,64,42,38.5,10.0,10.1,0.25,10,1.43,2026-03-05,2026-02-05,2026-04-24,JS - Offset 5 days
Broccoli,Happy Rich F1,https://www.johnnyseeds.com/vegetables/broccoli/mini-broccoli/happy-rich-f1-broccoli-seed-2629.html,66,64,33,28.9,10.0,9.6,0.5,21,3.0,2026-03-07,2026-02-07,2026-04-03,Mini broccoli - shorter succession / Offset 7 days
Carrots,Bolero F1,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bolero-f1-carrot-seed-216.html,398,N/A,22,22,30.0,30.0,0.25,21,3.0,2026-03-07,,2026-05-21,JS - Offset 7 days
Cauliflower,Tessaury F1,https://www.johnnyseeds.com/vegetables/cauliflower/standard-cauliflower/tessaury-organic-f1-cauliflower-seed-6042G.html,22,64,17,43.4,10.0,28.9,1.5,21,3.0,2026-03-10,2026-02-10,2026-05-07,JS organic - Offset 10 days
