variety,crop,plant_type,season,sow_window,seeding_method,start,plant_out,days_to_transplant,days_to_maturity,packet_type,water_needs,planting_pattern,plants_per_linear_ft,yield_per_plant,harvest_info,supplier,url,notes,yield_low,yield_high
Waltham 29,Broccoli,vegetable,cool-season,Aug–Feb,transplant,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-waltham-29-broccoli-seeds/,,1.0,1.0
Steve's Tender Early Green,Broccoli,vegetable,cool-season,Aug–Feb,transplant,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-steves-tender-early-green-broccoli-seeds/,,1.0,1.0
Sprouting Di Cocco,Broccoli,vegetable,cool-season,Aug–Feb,transplant,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-sprouting-di-cocco-broccoli-seeds/,,1.0,1.0
Belstar F1,Broccoli,vegetable,cool-season,Aug–Feb,transplant,,,,,single,medium-high,,,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/broccoli/standard-broccoli/belstar-organic-f1-broccoli-seed-2815G.html,,1.0,1.0
Happy Rich F1,Broccoli,vegetable,cool-season,Aug–Feb,transplant,,,,,single,medium-high,,,,mini broccoli,JS,https://www.johnnyseeds.com/vegetables/broccoli/mini-broccoli/happy-rich-f1-broccoli-seed-2629.html,,1.0,1.0
Mini Napa Chinese Cabbage,Cabbage / Asian Brassicas,vegetable,cool-season,Aug–Feb,transplant,,,,,single,medium-high,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/cabbages/mini-napa-chinese-cabbage-seeds/,,2.0,4.0
Red Acre,Cabbage / Asian Brassicas,vegetable,cool-season,Aug–Feb,transplant,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-red-acre-cabbage-seeds/,,2.0,4.0
White Stem Pak Choi,Cabbage / Asian Brassicas,vegetable,cool-season,Aug–Feb,transplant,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-white-stem-pak-choi-seeds/,,2.0,4.0
Bronco F1,Cabbage / Asian Brassicas,vegetable,cool-season,Aug–Feb,transplant,,,,,single,medium-high,,,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/cabbage/fresh-market-cabbage/bronco-organic-f1-cabbage-seed-5195G.html,,2.0,4.0
Bilko F1 Chinese Cabbage,Cabbage / Asian Brassicas,vegetable,cool-season,Aug–Feb,transplant,,,,,single,medium-high,,,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/chinese-cabbage/bilko-organic-f1-chinese-cabbage-seed-2814G.html,,2.0,4.0
Snowball,Cauliflower,vegetable,cool-season,Aug–Dec,transplant,,,,,single,high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/cauliflower/organic-snowball-cauliflower-seeds/,,1.0,2.0
Violet Queen,Cauliflower,vegetable,cool-season,Aug–Dec,transplant,,,,,single,high,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/cauliflower/violet-queen-cauliflower-seeds/,,1.0,2.0
Black Magic,Kale,vegetable,cool-season,Aug–Mar,transplant,,,,,single,medium,,,,*shopper requested*,SDSC,https://sandiegoseedcompany.com/product/vegetables/kale/black-magic-kale-seeds/,,1.0,5.0
Golden Beet,Beets,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/organic-golden-beet-seeds/,,0.25,0.25
Boro,Beets,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/organic-boro-beet-seeds/,,0.25,0.25
Detroit Dark Red,Beets,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/organic-detroit-dark-red-beet-seeds/,,0.25,0.25
Bulls Blood,Beets,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/bulls-blood-beet-seeds/,,0.25,0.25
Boldor,Beets,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,"organic, golden - *shopper requested*",JS,https://www.johnnyseeds.com/vegetables/beets/specialty-beets/boldor-organic-beet-seed-3121G.html,,0.25,0.25
