crop,variety,supplier,plant_type,season,water,sow,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,harvest_info,packet_type,notes,url
Broccoli,Waltham 29,SDSC,vegetable,cool-season,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,,single,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-waltham-29-broccoli-seeds/
Broccoli,Steve's Tender Early Green,SDSC,vegetable,cool-season,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,,single,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-steves-tender-early-green-broccoli-seeds/
Broccoli,Sprouting Di Cocco,SDSC,vegetable,cool-season,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,,single,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-sprouting-di-cocco-broccoli-seeds/
Broccoli,Belstar F1,JS,vegetable,cool-season,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/broccoli/standard-broccoli/belstar-organic-f1-broccoli-seed-2815G.html
Broccoli,Happy Rich F1,JS,vegetable,cool-season,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,,single,mini broccoli,https://www.johnnyseeds.com/vegetables/broccoli/mini-broccoli/happy-rich-f1-broccoli-seed-2629.html
Napa Cabbage,Mini Napa Chinese Cabbage,SDSC,vegetable,cool-season,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,,single,,https://sandiegoseedcompany.com/product/vegetables/cabbages/mini-napa-chinese-cabbage-seeds/
Cabbage,Red Acre,SDSC,vegetable,cool-season,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,,single,organic,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-red-acre-cabbage-seeds/
Pak Choi,White Stem Pak Choi,SDSC,vegetable,cool-season,medium-high,Aug–Feb,transplant,35,85,5-star,0.56,,2,4,,single,organic,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-white-stem-pak-choi-seeds/
Cabbage,Bronco F1,JS,vegetable,cool-season,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/cabbage/fresh-market-cabbage/bronco-organic-f1-cabbage-seed-5195G.html
Chinese Cabbage,Bilko F1 Chinese Cabbage,JS,vegetable,cool-season,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/chinese-cabbage/bilko-organic-f1-chinese-cabbage-seed-2814G.html
Cauliflower,Snowball,SDSC,vegetable,cool-season,high,Aug–Dec,transplant,35,80,2,0.56,,1,2,,single,organic,https://sandiegoseedcompany.com/product/vegetables/cauliflower/organic-snowball-cauliflower-seeds/
Cauliflower,Violet Queen,SDSC,vegetable,cool-season,high,Aug–Dec,transplant,35,80,2,0.56,,1,2,,single,,https://sandiegoseedcompany.com/product/vegetables/cauliflower/violet-queen-cauliflower-seeds/
Kale,Black Magic,SDSC,vegetable,cool-season,medium,Aug–Mar,transplant,30,60,5-star,1,,1,5,,single,*shopper requested*,https://sandiegoseedcompany.com/product/vegetables/kale/black-magic-kale-seeds/
Beets,Golden Beet,SDSC,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-golden-beet-seeds/
Beets,Boro,SDSC,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-boro-beet-seeds/
Beets,Detroit Dark Red,SDSC,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-detroit-dark-red-beet-seeds/
Beets,Bulls Blood,SDSC,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,,https://sandiegoseedcompany.com/product/vegetables/beets/bulls-blood-beet-seeds/
Beets,Boldor,JS,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,"organic, golden - *shopper requested*",https://www.johnnyseeds.com/vegetables/beets/specialty-beets/boldor-organic-beet-seed-3121G.html
Beets,Boro F1,JS,vegetable,cool-season,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/beets/round-red-beets/boro-organic-f1-beet-seed-3300G.html
Carrots,Juwarot,SDSC,vegetable,cool-season,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-juwarot-carrot-seeds/
Carrots,Miami Pelleted,SDSC,vegetable,cool-season,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-miami-pelleted-carrot-seeds/
Carrots,Nantes Coreless,SDSC,vegetable,cool-season,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-nantes-coreless-carrot-seeds/
