variety_name,company,url,plant_type,crop_group,season,packet_type,water_needs,sow_window,seeding_method,days_to_transplant,days_to_maturity,planting_pattern,plants_per_linear_ft,yield_per_plant,harvest_info,notes
Waltham 29,SDSC,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-waltham-29-broccoli-seeds/,,Broccoli,,single,high,Aug–Feb,,,,,,,,organic
Steve's Tender Early Green,SDSC,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-steves-tender-early-green-broccoli-seeds/,,Broccoli,,single,high,Aug–Feb,,,,,,,,organic
Sprouting Di Cocco,SDSC,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-sprouting-di-cocco-broccoli-seeds/,,Broccoli,,single,high,Aug–Feb,,,,,,,,organic
Belstar F1,JS,https://www.johnnyseeds.com/vegetables/broccoli/standard-broccoli/belstar-organic-f1-broccoli-seed-2815G.html,,Broccoli,,single,high,Aug–Feb,,,,,,,,organic - *shopper requested*
Happy Rich F1,JS,https://www.johnnyseeds.com/vegetables/broccoli/mini-broccoli/happy-rich-f1-broccoli-seed-2629.html,,Broccoli,,single,high,Aug–Feb,,,,,,,,mini broccoli
Mini Napa Chinese Cabbage,SDSC,https://sandiegoseedcompany.com/product/vegetables/cabbages/mini-napa-chinese-cabbage-seeds/,,Cabbage / Asian Brassicas,,single,high,Aug–Feb,,,,,,,,
Red Acre,SDSC,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-red-acre-cabbage-seeds/,,Cabbage / Asian Brassicas,,single,high,Aug–Feb,,,,,,,,organic
White Stem Pak Choi,SDSC,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-white-stem-pak-choi-seeds/,,Cabbage / Asian Brassicas,,single,high,Aug–Feb,,,,,,,,organic
Bronco F1,JS,https://www.johnnyseeds.com/vegetables/cabbage/fresh-market-cabbage/bronco-organic-f1-cabbage-seed-5195G.html,,Cabbage / Asian Brassicas,,single,high,Aug–Feb,,,,,,,,organic - *shopper requested*
Bilko F1 Chinese Cabbage,JS,https://www.johnnyseeds.com/vegetables/chinese-cabbage/bilko-organic-f1-chinese-cabbage-seed-2814G.html,,Cabbage / Asian Brassicas,,single,high,Aug–Feb,,,,,,,,organic - *shopper requested*
Snowball,SDSC,https://sandiegoseedcompany.com/product/vegetables/cauliflower/organic-snowball-cauliflower-seeds/,,Cauliflower,,single,high,Aug–Dec; avoid heat swings,,,,,,,,organic
Violet Queen,SDSC,https://sandiegoseedcompany.com/product/vegetables/cauliflower/violet-queen-cauliflower-seeds/,,Cauliflower,,single,high,Aug–Dec; avoid heat swings,,,,,,,,
Black Magic,SDSC,https://sandiegoseedcompany.com/product/vegetables/kale/black-magic-kale-seeds/,,Kale,,single,medium,Aug–Mar; tolerant but best quality with steady water,,,,,,,,*shopper requested*
Golden Beet,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/organic-golden-beet-seeds/,,Beets,,single,medium,Sep–Feb,,,,,,,,organic
Boro,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/organic-boro-beet-seeds/,,Beets,,single,medium,Sep–Feb,,,,,,,,organic
Detroit Dark Red,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/organic-detroit-dark-red-beet-seeds/,,Beets,,single,medium,Sep–Feb,,,,,,,,organic
Bulls Blood,SDSC,https://sandiegoseedcompany.com/product/vegetables/beets/bulls-blood-beet-seeds/,,Beets,,single,medium,Sep–Feb,,,,,,,,
Boldor,JS,https://www.johnnyseeds.com/vegetables/beets/specialty-beets/boldor-organic-beet-seed-3121G.html,,Beets,,single,medium,Sep–Feb,,,,,,,,"organic, golden - *shopper requested*"
Boro F1,JS,https://www.johnnyseeds.com/vegetables/beets/round-red-beets/boro-organic-f1-beet-seed-3300G.html,,Beets,,single,medium,Sep–Feb,,,,,,,,organic - *shopper requested*
Juwarot,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-juwarot-carrot-seeds/,,Carrots,,single,medium,Sep–Feb,,,,,,,,organic
Miami Pelleted,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-miami-pelleted-carrot-seeds/,,Carrots,,single,medium,Sep–Feb,,,,,,,,organic
Nantes Coreless,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-nantes-coreless-carrot-seeds/,,Carrots,,single,medium,Sep–Feb,,,,,,,,organic
Danvers,SDSC,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-danvers-carrot-seeds/,,Carrots,,single,medium,Sep–Feb,,,,,,,,organic
Bengala F1,JS,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bengala-organic-f1-carrot-seed-5176G.html,,Carrots,,single,medium,Sep–Feb,,,,,,,,*shopper requested* - currently out of stock
Bolero F1,JS,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bolero-f1-carrot-seed-216.html,,Carrots,,single,medium,Sep–Feb,,,,,,,,*replacement for Bengala*
